Product Name,Manufacturer,Item Code
Specialized TURBO LEVO SL EXPERT - 29" Carbon E-Bike - 2022 - cast battleship / black,Specialized Bikes,SBC491903
Bergamont E-CARGOVILLE LJ EXPERT - Cargo E-Bike - 2022,Bergamont Bikes,BGM576669
Specialized TURBO VADO 4.0 - Men's City E-Bike - 2022 - cast black / silver reflective,Specialized Bikes,SBC556770
Specialized TURBO COMO 5.0 SL - E-Bike - 2022 - brushed silver / transparent,Specialized Bikes,SBC531786
Orbea Rise H30 540Wh MTB E-Bike - 2022 - Leo Orange-Black (gloss),Orbea Bikes,OEA551290
CUBE NURIDE HYBRID EXC 625 Allroad - Easy Entry E-Bike - 2022 - blue/blue A00,CUBE Bikes,CUB559010
CUBE TOURING HYBRID EXC 625 - Women E-Bike - 2022 - mocha/black A00,CUBE Bikes,CUB559171
CUBE NURIDE HYBRID EXC 625 Allroad - Women E-Bike - 2022 - polarsilver/black A00,CUBE Bikes,CUB559008
CUBE TOURING HYBRID ONE 400 - E-Bike - 2022 - grey/blue A00,CUBE Bikes,CUB557825
CUBE TOURING HYBRID ONE 400 - Women E-Bike - 2022 - grey/blue A02,CUBE Bikes,CUB582895
Specialized S-WORKS TURBO LEVO - Carbon MTB E-Bike - 2022 - blue ghost gravity fade / black / light silver,Specialized Bikes,SBC531780
Specialized TURBO LEVO EXPERT - Carbon MTB E-Bike - 2022 - carbon / smoke / black,Specialized Bikes,SBC531809
Specialized TURBO LEVO COMP 29 MTB E-Bike - 2021 - redwood/white mountains,Specialized Bikes,SBC486502
FOCUS JAM² 6.8 NINE - 29" MTB E-Bike - 2022 - Sky Grey,FOCUS Bikes,FOU485512
Specialized TURBO LEVO EXPERT - Carbon MTB E-Bike - 2022 - maroon / black,Specialized Bikes,SBC531810
Cannondale MOTERRA NEO Carbon 1 - 29" MTB E-Bike - 2021 - Mercury,Cannondale Bikes,CAD483442
FOCUS SAM² 6.8 MTB E-Bike - 2022 - Milk Brown,FOCUS Bikes,FOU485525
Specialized TURBO LEVO SL EXPERT - 29" Carbon E-Bike - 2022 - redwood / white mountains,Specialized Bikes,SBC491906
Specialized TURBO KENEVO SL COMP - 29" Carbon MTB E-Bike - 2022 - gloss smoke / dream silver,Specialized Bikes,SBC531894
Cannondale HABIT NEO 1 - 29" Carbon Electric Mountain Bike - 2021 - Graphite,Cannondale Bikes,CAD483523
Specialized TURBO LEVO SL COMP - 29" MTB E-Bike - 2022 - dusty turquoise / black,Specialized Bikes,SBC469061
Specialized TURBO LEVO SL COMP - 29" MTB E-Bike - 2022 - rocket red / black,Specialized Bikes,SBC469067
Cannondale MOTERRA NEO Carbon 2 - 29" Electric Mountain Bike - 2021 - Alpine,Cannondale Bikes,CAD483496
Specialized S-WORKS TURBO LEVO SL - 29" Carbon MTB E-Bike - 2022 - carbon / bronze foil,Specialized Bikes,SBC491900
Specialized TURBO LEVO PRO - Carbon MTB E-Bike - 2022,Specialized Bikes,SBC531808
Cannondale TOPSTONE NEO Carbon Lefty 1 - SRAM X01 Eagle eTap AXS - 27.5" Gravel E-Bike - 2021 - Emerald,Cannondale Bikes,CAD483373
Specialized TURBO LEVO SL EXPERT - 29" Carbon E-Bike - 2022 - sage green / forest green,Specialized Bikes,SBC491909
Specialized TURBO VADO 5.0 SL EQ - Step Trough E-Bike - 2022 - brushed aluminum / black reflective,Specialized Bikes,SBC531895
Simplon CHENOA CX XT12 - Men E-Bike - 2021 - black matt,Simplon Bikes,SPN499581
Specialized S-WORKS TURBO LEVO - Carbon MTB E-Bike - 2022 - metallic white silver / chrome / dream silver,Specialized Bikes,SBC531807
Specialized TURBO TERO 5.0 - MTB E-Bike - 2022 - red onyx / smoke,Specialized Bikes,SBC556757
Santa Cruz Bullit CC Coil - XT - Carbon MTB E-Bike - 2021 - gloss lavender / yellow,Santa Cruz Bikes,SAC560914
Trek POWERFLY 4 625W MTB E-Bike - 2022 - Lithium Grey/Trek Black,Trek Bikes,TBI483963
Diamant ZOUMA SUPREME+ Men E-Bike - 2021 - carbon black,Diamant,DIM447009
Cannondale MOTERRA NEO Carbon 3+ - Electric Mountain Bike - 2021 - Matte Black,Cannondale Bikes,CAD483510
Giant DAILYTOUR E+ 2 LDS - Deep Entry City E-Bike - 2022 - black matt-gloss,Giant Bikes,GNT496627
Specialized TURBO VADO 3.0 Step-Through E-Bike - 2021 - cast blue / black / liquid silver,Specialized Bikes,SBC450956
Specialized TURBO KENEVO SL EXPERT - 29" Carbon MTB E-Bike - 2022 - brassy yellow / black,Specialized Bikes,SBC531859
CUBE TOWN HYBRID SL 625 - Easy Entry E-Bike - 2021 - teak/black,CUBE Bikes,CUB494031
Diamant Zing+ - Women Trekking E-Bike - 2022 - white,Diamant,DIM503415
Cannondale CANVAS NEO 1 - 29" Electric City Bike - 2021 - black,Cannondale Bikes,CAD508679
CUBE STEREO HYBRID 120 Pro 625 - MTB E-Bike - 2021 - lunar/grey,CUBE Bikes,CUB484753
Bergamont E-VILLE Elite - Step-Thru Urban E-Bike - 2021 - black / silver,Bergamont Bikes,BGM516922
CUBE NURIDE HYBRID PRO 625 Allroad - E-Bike - 2022 - silvergreen/black A00,CUBE Bikes,CUB557813
Trek POWERFLY SPORT 4 EQ MTB E-Bike - 2022 - Lithium Grey/Trek Black,Trek Bikes,TBI483946
Electra Cafe Moto Go! E-Bike - Matte Black,Electra,ELE531840
Specialized S-WORKS TURBO KENEVO SL - 29" Carbon MTB E-Bike - 2022 - gloss oak green metallic / satin black,Specialized Bikes,SBC531857
